City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
215,Souillac,40,MU,1586727363,74,-20.52,57.52,78.8,11.41
216,Inírida,100,CO,1586727363,61,3.87,-67.92,89.53,1.23
217,Leningradskiy,94,RU,1586727363,87,69.38,178.42,17.8,3.06
218,Ayan,100,RU,1586726873,86,56.45,138.17,33.3,9.01
219,Jardim,7,BR,1586727240,58,-21.48,-56.14,79.2,1.41
220,Hamilton,90,US,1586727364,59,39.18,-84.53,62.01,5.82
221,Nemuro,0,JP,1586727364,88,43.32,145.57,33.76,8.81
222,Saint Paul Harbor,90,US,1586727335,81,57.79,-152.41,42.8,4.7
223,Qaqortoq,100,GL,1586727364,88,60.72,-46.03,37.4,1.12
224,Karwar,9,IN,1586727364,84,14.8,74.13,78.22,1.12
225,Yangi Marg`ilon,90,UZ,1586727345,77,40.43,71.72,60.8,4.7
226,Abu Samrah,0,SY,1586727365,61,35.3,37.18,54.57,6.29
227,Harper,100,LR,1586727365,82,4.38,-7.72,81.57,7.58
228,Kununurra,66,AU,1586727365,94,-15.77,128.73,75.2,1.36
229,Maragogi,30,BR,1586727228,74,-9.01,-35.22,80.35,8.16
230,Kamaishi,83,JP,1586727365,80,39.27,141.88,45.27,15.93
231,Newport,100,GB,1586727365,62,51.59,-3.0,60.01,5.82
232,Clyde River,90,CA,1586727365,85,70.47,-68.59,10.4,28.86
233,La Ronge,75,CA,1586727365,52,55.1,-105.28,15.8,18.34
234,Arraias,95,BR,1586727366,80,-12.93,-46.94,72.36,1.7
235,Esperance,16,AU,1586727348,100,-33.87,121.9,62.6,2.24
236,Banyo,78,CM,1586726875,41,6.75,11.82,69.37,2.42
237,Santa Maria,9,BR,1586727366,44,-29.68,-53.81,78.8,8.05
238,Hithadhoo,12,MV,1586727361,68,-0.6,73.08,84.85,7.11
239,Provideniya,90,RU,1586726872,96,64.38,-173.3,32.0,8.95
240,Kiryat Gat,20,IL,1586727366,87,31.61,34.76,60.01,3.36
241,Smidovich,59,RU,1586727366,64,48.6,133.82,40.59,4.97
242,Aksu,2,CN,1586727366,19,41.12,80.26,59.85,3.58
243,Port Blair,84,IN,1586727367,72,11.67,92.75,82.08,3.8
244,Nsanje,39,MW,1586727367,70,-16.92,35.26,74.34,5.84
245,Katsuura,75,JP,1586727367,93,35.13,140.3,50.0,19.46
246,Jiayuguan City,100,CN,1586727367,21,39.82,98.3,45.52,2.53
247,Mount Gambier,42,AU,1586727367,93,-37.83,140.77,44.6,4.7
248,Kuusamo,90,FI,1586727367,92,65.97,29.18,30.2,17.22
249,Quatre Cocos,40,MU,1586727367,74,-20.21,57.76,78.8,11.41
250,Saint George,20,US,1586727338,34,37.1,-113.58,71.01,10.29
251,Bealanana,30,MG,1586727367,69,-14.55,48.73,63.36,4.97
252,Weligama,0,LK,1586726869,87,5.97,80.42,77.63,2.98
253,Bonavista,2,CA,1586727368,64,48.65,-53.11,42.01,7.0
254,Mawlaik,0,MM,1586727368,43,23.63,94.42,71.31,2.33
255,Birin,0,NP,1586727368,31,26.89,88.07,58.42,3.94
256,Salamiyah,0,SY,1586727368,67,35.01,37.05,52.75,5.48
257,Tuatapere,39,NZ,1586727341,71,-46.13,167.68,48.99,11.99
258,Parry Sound,82,CA,1586727368,77,45.35,-80.03,45.99,5.28
259,Tagusao,39,PH,1586727369,80,9.19,117.81,79.25,3.58
260,Fort Nelson,20,CA,1586727369,29,58.81,-122.7,39.2,2.24
261,Aklavik,20,CA,1586727243,40,68.22,-135.01,33.8,5.82
262,Mount Isa,19,AU,1586727369,45,-20.73,139.5,62.6,3.36
263,Mikhaylovka,0,RU,1586727369,76,50.06,43.24,30.99,12.37
264,Salinas,90,US,1586727339,76,36.68,-121.66,61.0,9.17
265,Pradera,75,CO,1586727369,65,3.42,-76.24,82.4,4.7
266,Vila Franca do Campo,75,PT,1586727369,77,37.72,-25.43,59.0,9.17
267,Warmbad,28,NA,1586727370,47,-28.45,18.73,66.25,2.8
268,San Quintín,1,MX,1586727370,63,30.48,-115.95,63.14,17.54
269,Egvekinot,36,RU,1586727370,85,66.32,-179.17,19.81,1.41
270,Bethel,75,US,1586726992,58,41.37,-73.41,62.01,11.41
271,Saskylakh,99,RU,1586726866,92,71.92,114.08,7.14,22.75
272,Yulara,0,AU,1586726990,45,-25.24,130.99,66.2,5.82
273,Pitimbu,44,BR,1586727370,83,-7.47,-34.81,80.6,8.05
274,Kosh-Agach,51,RU,1586727370,45,50.0,88.67,29.07,1.36
275,Emet,0,TR,1586727370,48,39.34,29.26,44.42,1.95
276,Alta Gracia,75,AR,1586727371,53,-31.65,-64.43,72.0,9.17
277,Waddān,0,LY,1586727371,25,29.16,16.14,71.96,19.42
278,Lompoc,90,US,1586727371,72,34.64,-120.46,63.0,9.17
279,Taltal,10,CL,1586727371,62,-25.4,-70.48,67.62,5.82
280,Khatanga,36,RU,1586727353,93,71.97,102.5,0.45,9.66
281,Palkino,100,RU,1586727371,42,57.54,28.01,48.2,15.66
282,Razdolinsk,0,RU,1586727371,88,58.42,94.67,30.6,4.92
283,Talnakh,100,RU,1586726872,72,69.49,88.4,17.6,6.71
284,Morón,66,AR,1586727372,46,-34.65,-58.62,73.4,4.7
285,Tieli,0,CN,1586727372,58,46.95,128.05,40.86,3.76
286,Inhambane,0,MZ,1586727372,80,-23.86,35.38,76.6,12.66
287,Praia da Vitória,75,PT,1586727372,77,38.73,-27.07,60.8,10.96
288,Nizwá,51,OM,1586727372,42,22.93,57.53,77.36,3.71
289,Coelho Neto,100,BR,1586727372,95,-4.26,-43.01,75.9,1.92
290,Tiksi,100,RU,1586726987,94,71.69,128.87,17.26,9.31
291,São João da Barra,75,BR,1586727373,73,-21.64,-41.05,75.2,4.7
292,Alofi,81,NU,1586727373,66,-19.06,-169.92,84.2,16.11
293,Necochea,100,AR,1586727197,97,-38.55,-58.74,61.0,1.01
294,San Patricio,40,MX,1586727373,79,19.22,-104.7,84.2,11.41
295,Liwale,100,TZ,1586727373,85,-9.77,37.93,68.77,1.59
296,Shuangyang,20,CN,1586727373,68,43.52,125.67,30.2,2.24
297,George Town,20,MY,1586726869,94,5.41,100.34,80.6,1.12
298,Douglas,90,US,1586727343,85,41.3,-96.17,32.0,17.22
299,Armidale,0,AU,1586727074,52,-30.52,151.65,44.91,3.09
300,Katete,100,UG,1586727374,61,-0.78,29.75,65.39,3.31
301,Alekseyevsk,0,RU,1586727374,94,57.84,108.35,29.05,4.81
302,Bay Roberts,75,CA,1586727374,52,47.6,-53.26,44.01,9.17
303,Verkhnevilyuysk,83,RU,1586727374,97,63.45,120.32,30.56,7.38
304,Zhuanghe,0,CN,1586727374,50,39.7,122.99,42.01,1.99
305,Auki,99,SB,1586727374,76,-8.77,160.7,82.92,7.49
306,Sisimiut,65,GL,1586727374,89,66.94,-53.67,34.75,20.62
307,Dakar,30,SN,1586727309,88,14.69,-17.44,73.4,6.93
308,Mâncio Lima,90,BR,1586727375,83,-7.61,-72.9,84.2,9.17
309,Sola,75,VU,1586727375,88,-13.88,167.55,82.4,15.19
310,Farmington,1,US,1586727375,18,36.73,-108.22,59.0,27.51
311,Zheleznogorsk,66,RU,1586727375,67,52.33,35.37,38.28,7.87
312,San Ramon,40,US,1586727375,63,37.78,-121.98,72.0,3.13
313,Huambo,94,AO,1586727375,57,-12.78,15.74,60.55,2.26
314,Nisibis,0,TR,1586727375,38,37.08,41.22,51.55,4.74
315,Namatanai,93,PG,1586727375,75,-3.67,152.43,81.75,2.71
316,Margate,88,GB,1586727163,81,51.38,1.39,57.99,5.82
317,Saint-Joseph,94,RE,1586727376,83,-21.37,55.62,75.2,5.82
318,Baijiantan,88,CN,1586727376,34,45.63,85.18,59.16,4.05
319,Cotonou,40,BJ,1586727281,79,6.37,2.42,84.2,13.87
320,Florø,40,NO,1586727376,64,61.6,5.03,36.0,26.4
321,Nagapattinam,0,IN,1586727376,74,10.77,79.83,80.76,6.44
322,Marawi,0,PH,1586727345,69,8.0,124.29,66.04,3.0
323,Berbérati,98,CF,1586727377,82,4.26,15.79,71.06,2.13
324,Laguna,1,US,1586727377,60,38.42,-121.42,73.99,5.35
325,Chapais,75,CA,1586727377,48,49.78,-74.85,41.0,11.41
326,Tsimmerbude,80,RU,1586727377,41,54.67,20.13,57.2,11.18
327,Smithers,5,CA,1586727111,19,54.78,-127.17,48.2,2.24
328,Rota,20,ES,1586727121,77,36.62,-6.36,60.8,2.24
329,Alindao,100,CF,1586727377,78,5.03,21.21,74.07,4.74
330,Vanderbijlpark,30,ZA,1586727377,61,-26.71,27.84,59.0,4.81
331,Ukiah,1,US,1586727377,46,39.15,-123.21,73.4,4.43
332,Santiago,75,CL,1586727378,59,-33.46,-70.65,64.4,2.24
333,De-Kastri,20,RU,1586727378,96,51.47,140.78,30.92,4.88
334,Dawlatabad,100,AF,1586727378,77,36.41,64.91,59.94,1.99
335,Gari,100,RU,1586727378,90,59.43,62.35,41.68,7.09
336,Antofagasta,90,CL,1586726875,72,-23.65,-70.4,66.2,11.41
337,Kargopol',70,RU,1586727378,87,61.51,38.95,28.89,11.3
338,Anajatuba,100,BR,1586727378,95,-3.26,-44.62,76.82,1.57
339,Biak,5,ID,1586727344,71,-0.91,122.88,78.98,2.37
340,Siocon,0,PH,1586727378,71,7.71,122.14,79.45,4.18
341,Rocha,81,UY,1586727379,63,-34.48,-54.33,66.4,6.26
342,Broadford,75,AU,1586727379,81,-37.2,145.07,55.0,5.82
343,Lincoln,90,US,1586727316,83,40.8,-96.67,32.0,38.03
344,Sur,28,OM,1586727379,46,22.57,59.53,82.49,12.62
345,Comodoro Rivadavia,38,AR,1586727379,45,-45.87,-67.5,64.4,11.41
346,Mergen,0,CN,1586727368,46,49.18,125.22,45.27,3.91
347,Vao,81,NC,1586727379,72,-22.67,167.48,77.14,3.67
348,Halifax,90,CA,1586727311,29,44.65,-63.57,51.01,16.11
349,Zanjān,78,IR,1586727379,49,36.67,48.48,40.93,4.56
350,Manoel Urbano,100,BR,1586727236,90,-8.84,-69.26,76.24,5.08
351,Hukuntsi,77,BW,1586726988,27,-24.0,21.75,76.1,1.74
352,Nizhniy Tsasuchey,49,RU,1586727380,41,50.52,115.13,45.5,12.1
353,Udomlya,100,RU,1586727380,71,57.88,34.99,38.32,9.26
354,Dingle,0,PH,1586727380,78,11.0,122.67,76.19,2.24
355,Riyadh,81,SA,1586727380,26,24.69,46.72,71.6,11.41
356,Fallon,1,US,1586727380,22,39.47,-118.78,57.99,8.05
357,Vestmanna,86,FO,1586727380,87,62.16,-7.17,32.0,9.17
